Seed,Condition,type, 1-2-results,2-2-results
30,baseline,no structure,0.5301292861157950,0.21675098369870700
30,baseline,with structure,0.5340078695896570,0.1784148397976390
30,control-random-leaf-trees,no structure,0.5336706014614950,0.25744800449690800
30,control-random-leaf-trees,with structure,0.5149522203485100,0.16065205171444600
30,control-random-trees,no structure,0.5222596964586850,0.1946037099494100
30,control-random-trees,with structure,0.5133783024170880,0.12388982574480000
30,target,no structure,0.5344013490725130,0.15368184373243400
30,target,with structure,0.5277684092186620,0.11129848229342300
421,baseline,no structure,0.5044750430292600,0.0570281124497992
421,baseline,with structure,0.5049913941480210,0.055651176133103800
421,control-random-leaf-trees,no structure,0.5316121629374640,0.2547332185886400
421,control-random-leaf-trees,with structure,0.5266207687894440,0.21790017211704000
421,control-random-trees,no structure,0.5059667240390130,0.06161790017211700
421,control-random-trees,with structure,0.5017211703958690,0.039816408491107300
421,target,no structure,0.5208261617900170,0.17751004016064300
421,target,with structure,0.5045897877223180,0.02650602409638550
374,baseline,no structure,0.5335068314899150,0.23975276512687100
374,baseline,with structure,0.5327477770548690,0.19160702667534200
374,control-random-leaf-trees,no structure,0.5340490132292350,0.1625460854478420
374,control-random-leaf-trees,with structure,0.5280850140967250,0.16872695727607900
374,control-random-trees,no structure,0.5270006506180870,0.19995662546085400
374,control-random-trees,with structure,0.529332032097159,0.18813706354370000
374,target,no structure,0.5349165040121450,0.22608978529603100
374,target,with structure,0.5333983951420520,0.2470180004337450
982,baseline,no structure,0.5252203995089830,0.24026336346389900
982,baseline,with structure,0.5232674924673590,0.21124874455975900
982,control-random-leaf-trees,no structure,0.5289588215600940,
982,control-random-leaf-trees,with structure,0.5280102667113050,
982,control-random-trees,no structure,0.5180225421269950,
982,control-random-trees,with structure,0.5112152661533310,
982,target,no structure,0.5319718781386010,
982,target,with structure,0.5333668117397610,
